      Unnamed: 0                                                        product_name product_price     weight            category                EAN date_added                                  uuid          removed product_code
1669        1669                               Nescafe Dolce Gusto - Flat White 16pk         £3.69   16 x 10g      food-and-drink      5015230815305 1992-12-29  ba73ad16-8998-4799-859d-88691a9c2d54  Still_avaliable  u3-6199715i
714          714                      Diamond Tufted All Over Voile 55 x 90" - Black        £10.00       0.41            homeware      9466372165906 1992-12-31  18e322fb-ef73-4414-93bf-89718f83577c  Still_avaliable  I2-2168119w
1332        1332                                                     Face Oil Burner         £4.00      0.375            homeware      1586960260153 1993-01-02  8b608776-7ee6-41f9-9781-8180f18d8c57  Still_avaliable  i8-5595402N
586          586                              Tower Vortx Dual Basket Air Fryer 7.6L        £99.00        8.2            homeware      2252754157532 1993-01-05  e205bc3c-cab5-491d-b054-0a2e9a142ed3  Still_avaliable  M6-0249525F
1022        1022                                  Aspen Faux Fur Cushion - Dark Mink        £10.00      0.296            homeware      8687854526430 1993-01-11  04efd464-77d2-4934-80bd-eb316db1cb25  Still_avaliable  l4-9899918p
892          892                                   Chunky Knit Rug 60 x 110cm - Sage        £20.00    0.00138            homeware      3987750679687 1993-01-13  965229b2-8f47-4528-9c42-d3bd8435043f  Still_avaliable  r2-8521850d
112          112                           Shimmer & Sparkle Real Massaging Foot Spa        £25.00       1.38      toys-and-games      7591943687876 1993-01-31  163a249c-946e-42b7-91a2-1340d4487604  Still_avaliable  Z0-8213759K
827          827                                               Lokken Bookcase - Oak        £32.00       13.0            homeware       342414300261 1993-02-15  6eb3835e-1108-4665-b819-3f6b3daad46e  Still_avaliable  Q6-0583882A
1074        1074                              Pleated Cushion 48 x 48cm - Dark Green         £8.00       0.77            homeware      2471494818965 1993-02-23  1ffdddb1-7b83-4848-9f2a-fb72008e90e4  Still_avaliable  p3-9139460E
503          503                                       Lara Double Duvet Set - Khaki        £20.00       1.55            homeware      7829355034040 1993-02-25  0f2b8da2-1ec7-4216-9676-899e483f78fe  Still_avaliable  M8-8419976I
